"cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Generacja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Typ","Liczba drzwi","Liczba miejsc","Kolor","Metalik","VAT mar¿a","Kraj pochodzenia","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Pierwszy w³aœciciel","Bezwypadkowy","Serwisowany w ASO","Stan","VIN","Emisja CO2","Mo¿liwoœæ finansowania","Gwarancja dealerska (w cenie)","Pierwsza rejestracja","Faktura VAT","Leasing","Miesiêczna rata","Wersja","Filtr cz¹stek sta³ych","Per³owy","lub do (przebieg km)","Akryl (niemetalizowany)","Uszkodzony","Homologacja ciê¿arowa","Matowy","Tuning","Kierownica po prawej (Anglik)"
"30 750","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","367 000 km","1 968 cm3","Diesel","170 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Br¹zowy","Tak",NA,NA,"PO8T453","Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","177 g/km","Tak",NA,"27/07/2011","Tak",NA,NA,"2.0 TDI DPF Highline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33 700","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","89 200 km","2 480 cm3","Benzyna+LPG","173 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Bordowy",NA,NA,"Stany Zjednoczone","BSKWS26","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","180 g/km",NA,NA,"08/01/2013",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"45 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","131 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Czarny","Tak",NA,"Polska","WY9291M","Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","119 g/km","Tak",NA,"15/05/2014",NA,NA,NA,"2.0 TDI Comfortline",NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"32 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","195 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Z³oty","Tak",NA,"Belgia",NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,"2.0 TDI Comfortline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","192 000 km","1 598 cm3","Diesel","105 KM","Manualna",NA,"Sedan","4","5","Czarny","Tak","Tak",NA,NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","140 000 km","1 798 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Sedan","4","5","Szary","Tak",NA,"Polska",NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","160 g/km",NA,NA,"04/08/2012","Tak",NA,NA,"1.8 TSI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","255 000 km","1 600 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Br¹zowy","Tak","Tak","Holandia",NA,"Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2010","304 883 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny",NA,NA,"Niemcy",NA,"Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"04/11/2015",NA,NA,NA,"2.0 TDI",NA,NA,"304 883 km",NA,NA,NA,NA,NA,NA
"39 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","290 000 km","1 968 cm3","Diesel","177 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Szary","Tak",NA,"Dania","PMI09494","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","155 g/km",NA,NA,"30/04/2014",NA,NA,NA,"2.0 TDI 4Mot DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 999","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","185 000 km","1 968 cm3","Diesel","177 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak","Tak","Niemcy",NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","136 g/km","Tak",NA,NA,NA,"Tak",NA,"2.0 TDI Comfortline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","226 900 km","1 390 cm3","Benzyna","122 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Z³oty","Tak",NA,"Niemcy","KGR14K7","Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","154 g/km",NA,NA,"25/10/2011",NA,NA,NA,"1.4 TSI Comfortline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","194 916 km","1 798 cm3","Benzyna","160 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Br¹zowy",NA,NA,NA,NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","162 g/km",NA,NA,"18/07/2018",NA,NA,NA,"1.8 TSI Comfortline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","217 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak","Tak","Austria",NA,NA,"Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"12/12/2012",NA,NA,NA,"2.0 TDI Highline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 600","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","203 000 km","1 598 cm3","Diesel","105 KM","Automatyczna",NA,"Kombi","5","5","Inny kolor","Tak","Tak","Belgia",NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","230 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Czarny",NA,NA,NA,"PO62540","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"09/08/2017",NA,NA,NA,"2.0 TDI Highline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33 600","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","197 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Szary","Tak",NA,NA,NA,NA,NA,NA,"Tak","U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"12/08/2011",NA,NA,NA,"2.0 TDI Comfortline",NA,NA,"197 000 km",NA,NA,NA,NA,NA,NA
"22 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","172 286 km","1 390 cm3","Benzyna","122 KM","Manualna","Na przednie ko³a","Kombi","5","5","Niebieski","Tak","Tak","Niemcy",NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","158 g/km",NA,NA,NA,NA,NA,NA,"Variant 1.4 TSI",NA,NA,NA,NA,"Tak",NA,NA,NA,NA
"35 950","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","216 000 km","1 968 cm3","Diesel","170 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Niebieski","Tak","Tak","Szwecja","MAT 321",NA,NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"09/11/2011",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","167 626 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak","Tak","Niemcy",NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"11/03/2011",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34 700","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","233 000 km","1 968 cm3","Diesel","140 KM","Automatyczna",NA,"Kombi","5","5","Czarny","Tak","Tak",NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,NA,NA,NA,"Variant 2.0 TDI DSG BlueMotion Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","229 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak","Tak","Niemcy",NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","160 000 km","1 390 cm3","Benzyna","122 KM","Manualna","Na przednie ko³a","Kombi","5","5","Niebieski",NA,NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","158 g/km",NA,NA,NA,NA,NA,NA,"Variant 1.4 TSI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","48 270 km","2 480 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Bordowy","Tak","Tak","Niemcy",NA,NA,"Tak",NA,NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,"01/07/2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","238 270 km","1 798 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Sedan","4","5","Srebrny","Tak","Tak","Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","160 g/km","Tak",NA,"27/06/2012",NA,NA,NA,"1.8 TSI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","198 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Br¹zowy",NA,NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,NA,NA,NA,NA,"2.0 TDI Comfortline",NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"32 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","264 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5",NA,"Szary",NA,NA,"Polska",NA,"Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,"26/03/2013",NA,NA,NA,"2.0 TDI Comfortline","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"37 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","193 612 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny",NA,NA,NA,"DBL9AH4",NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"12/12/2012",NA,NA,NA,"2.0 TDI Highline","Tak","Tak",NA,NA,NA,NA,NA,NA,NA
"29 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","213 000 km","2 000 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak","Tak","Niemcy",NA,NA,NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","148 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Czarny",NA,NA,"Polska",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,"27/07/2011",NA,NA,NA,"2.0 TDI DSG BlueMotion Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34 400","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","205 600 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5",NA,"Czarny",NA,NA,"Niemcy",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,"05/05/2012",NA,NA,NA,"2.0 TDI Highline DSG",NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"24 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","328 000 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Bia³y",NA,NA,"Niemcy",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","113 g/km","Tak",NA,NA,NA,NA,NA,"Variant 1.6 TDI BlueMotion","Tak",NA,NA,"Tak",NA,NA,NA,NA,NA
"36 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","250 000 km","1 798 cm3","Benzyna","160 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Br¹zowy",NA,NA,"Polska",NA,"Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","165 g/km","Tak",NA,NA,NA,NA,NA,"1.8 TSI Highline DSG",NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"34 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","255 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Br¹zowy","Tak",NA,"Polska",NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"23/01/2014","Tak",NA,NA,"2.0 TDI Comfortline DSG","Tak",NA,NA,NA,NA,"Tak",NA,NA,NA
"39 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","214 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Inny kolor","Tak",NA,"Niemcy","WR2527X","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"16/10/2013",NA,NA,NA,"2.0 TDI","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"29 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","284 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny",NA,NA,NA,NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 999","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","124 000 km","2 000 cm3","Diesel","170 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Czarny","Tak",NA,NA,NA,"Tak","Tak",NA,NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"Tak",NA,NA,NA,NA
"39 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","135 769 km","1 390 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Sedan","4","5","Br¹zowy","Tak",NA,"Polska",NA,NA,NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36 999","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","293 251 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,"Holandia","DBL 2HL3","Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,"14/10/2011",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"59 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","82 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Czarny","Tak",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,NA,NA,NA,NA,"2.0 TDI Highline R-Style","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"31 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","240 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Z³oty","Tak",NA,"Niemcy","LOS5555",NA,NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"09/11/2013",NA,NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","117 500 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5",NA,"Srebrny","Tak",NA,"Niemcy",NA,"Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,"2.0 TDI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33 800","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","153 000 km","1 798 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,"Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","160 g/km",NA,NA,NA,NA,NA,NA,"1.8 TSI Comfortline",NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"31 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","261 510 km","1 390 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Sedan","4","5","Szary","Tak","Tak","Polska","KBR1SV4","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,"03/10/2014",NA,NA,NA,"1.4 TSI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25 999","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","267 000 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Niebieski","Tak",NA,"Niemcy",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,"Tak",NA,NA,"1.6 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56 400","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","96 000 km","1 968 cm3","Diesel","190 KM","Manualna","Na przednie ko³a","Kombi","5","5","Inny kolor","Tak",NA,NA,NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN","109 g/km",NA,NA,"28/02/2014","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","199 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Z³oty","Tak","Tak","Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km","Tak",NA,NA,NA,NA,NA,"2.0 TDI Highline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","229 800 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak","Tak","Niemcy",NA,NA,"Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","119 g/km","Tak",NA,NA,NA,NA,NA,"2.0 TDI Highline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","156 026 km","2 480 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Srebrny",NA,NA,NA,NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","150 000 km","1 968 cm3","Diesel","170 KM","Manualna","Na przednie ko³a","Sedan","5","5","Szary","Tak",NA,"Polska",NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN","123 g/km",NA,NA,"27/11/2012",NA,NA,NA,"2.0 TDI Highline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","246 325 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Bia³y",NA,"Tak",NA,NA,"Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,"08/10/2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","261 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Czarny","Tak",NA,"Polska","GND1X12","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"05/01/2012",NA,NA,NA,"2.0 TDI Comfortline","Tak","Tak",NA,NA,NA,NA,NA,NA,NA
"43 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","200 000 km","1 968 cm3","Diesel","177 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Br¹zowy","Tak",NA,"Polska","DGL37402","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","136 g/km","Tak",NA,NA,NA,NA,NA,"2.0 TDI Highline DSG","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"28 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2010","205 000 km","1 968 cm3","Diesel","170 KM","Manualna","Na przednie ko³a","Kombi","5",NA,"Czerwony",NA,NA,"Niemcy",NA,"Tak","Tak","Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,"Variant 2.0 TDI BlueMotion Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","157 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Be¿owy","Tak","Tak","Niemcy",NA,NA,"Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","98 000 km","1 896 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Sedan","5","5","Czarny","Tak","Tak","Niemcy",NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","177 435 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Bia³y","Tak","Tak",NA,NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","135 g/km","Tak",NA,NA,NA,"Tak",NA,"2.0 TDI Highline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","239 850 km","1 798 cm3","Benzyna","160 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,"Polska",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","165 g/km",NA,NA,NA,NA,NA,NA,"1.8 TSI Highline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","260 000 km","1 968 cm3","Diesel","170 KM","Manualna","Na przednie ko³a","Kombi","5","5","Bia³y",NA,NA,"Polska",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,"08/10/2012",NA,NA,NA,"B7 (2010-2014)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","262 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","148 g/km",NA,NA,"16/05/2011",NA,NA,NA,"Variant 2.0 TDI DPF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 999","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","190 000 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,"Holandia",NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","118 g/km",NA,NA,NA,NA,NA,NA,"1.6 TDI DPF BlueMot Highline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41 500","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","213 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Br¹zowy","Tak","Tak",NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,NA,NA,NA,NA,"Variant 2.0 TDI DSG BlueMotion Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32 700","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","216 634 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Inny kolor",NA,"Tak",NA,NA,NA,"Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","205 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Srebrny","Tak",NA,"Niemcy","EOPJM58","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"02/09/2020",NA,NA,NA,"2.0 TDI Comfortline","Tak",NA,NA,NA,NA,NA,NA,NA,NA
